event_key,learn_time,exit_ratio,c_start,c_end
clickVideoExit,3,0.143736819,NULL,NULL
clickVideoExit,5,0.020475992,NULL,NULL
clickVideoExit,2,0.033176541,NULL,NULL
clickVideoExit,5,0.003546725,NULL,NULL
clickVideoExit,644,1.148834673,NULL,NULL
clickVideoExit,13,0.037293693,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,7,0.160099258,NULL,NULL
clickVideoExit,149,0.601462237,NULL,NULL
clickVideoExit,1,0.027724194,NULL,NULL
clickVideoExit,60,1.140888283,NULL,NULL
clickVideoExit,608,1.134311277,NULL,NULL
clickVideoExit,654,0,NULL,NULL
clickVideoExit,3,0.179124889,NULL,NULL
clickVideoExit,2,8.64E-05,NULL,NULL
clickVideoExit,29,0.34171999,NULL,NULL
clickVideoExit,41,0.063446963,NULL,NULL
clickVideoExit,249,0.444679373,NULL,NULL
clickVideoExit,108,0,NULL,NULL
clickVideoExit,81,0.058203353,NULL,NULL
clickVideoExit,645,1.148606143,NULL,NULL
clickVideoExit,4,0.996318316,NULL,NULL
clickVideoExit,619,1.094471356,NULL,NULL
clickVideoExit,0.342,NULL,NULL,NULL
clickVideoExit,32,0.055752496,NULL,NULL
clickVideoExit,61,0.577799411,NULL,NULL
clickVideoExit,0.594,NULL,NULL,NULL
clickVideoExit,4,0.037639188,NULL,NULL
clickVideoExit,244,0.428901757,NULL,NULL
clickVideoExit,52,0,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,14,0.022946643,NULL,NULL
clickVideoExit,2,0.03340867,NULL,NULL
clickVideoExit,80,0.139565684,NULL,NULL
clickVideoExit,353,0.623885238,NULL,NULL
clickVideoExit,653,0,NULL,NULL
clickVideoExit,29,0.038148433,NULL,NULL
clickVideoExit,667,0,NULL,NULL
clickVideoExit,16,0.025737596,NULL,NULL
clickVideoExit,320,0.828524591,NULL,NULL
clickVideoExit,3,0.00356292,NULL,NULL
clickVideoExit,6,0.007262598,NULL,NULL
clickVideoExit,26,0.088538555,NULL,NULL
clickVideoExit,629,1.087091794,NULL,NULL
clickVideoExit,30,0.050041028,NULL,NULL
clickVideoExit,5,0.006717363,NULL,NULL
clickVideoExit,612,1.130559414,NULL,NULL
clickVideoExit,2,0.000412075,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,363,0.62110688,NULL,NULL
clickVideoExit,193,0.731413435,NULL,NULL
clickVideoExit,12,0.020189878,NULL,NULL
clickVideoExit,4,0.004439254,NULL,NULL
clickVideoExit,341,0.595444861,NULL,NULL
clickVideoExit,20,0.059117476,NULL,NULL
clickVideoExit,13,0.147513874,NULL,NULL
clickVideoExit,2,0.051640743,NULL,NULL
clickVideoExit,1547,0.593071381,NULL,NULL
clickVideoExit,540,1.141597268,NULL,NULL
clickVideoExit,9,0.00939855,NULL,NULL
clickVideoExit,181,1.149117188,NULL,NULL
clickVideoExit,3,0.001632105,NULL,NULL
clickVideoExit,651,1.148642132,NULL,NULL
clickVideoExit,24,0,NULL,NULL
clickVideoExit,667,0,NULL,NULL
clickVideoExit,6,0,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,3,0.937515745,NULL,NULL
clickVideoExit,12,0.011293376,NULL,NULL
clickVideoExit,55,0.916762638,NULL,NULL
clickVideoExit,504,0.914590696,NULL,NULL
