k,i
clickVideoExit,0.245842661
clickVideoExit,0.056963543
clickVideoExit,0.407739047
clickVideoExit,0.596618164
clickVideoExit,0
clickVideoExit,0.484142149
clickVideoExit,
clickVideoExit,0.641589383
clickVideoExit,
clickVideoExit,0.015989767
clickVideoExit,
clickVideoExit,0.842490806
clickVideoExit,0.031391909
clickVideoExit,0.015336185
clickVideoExit,0.034649824
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,
clickVideoExit,0.94607851
clickVideoExit,0.000113927
clickVideoExit,0.263053646
clickVideoExit,0.288669252
clickVideoExit,0.003537736
clickVideoExit,0.974482331
clickVideoExit,0.663521346
clickVideoExit,0.930642389
clickVideoExit,0
clickVideoExit,0.666617365
clickVideoExit,
clickVideoExit,
clickVideoExit,0.784487928
clickVideoExit,0.768190358
clickVideoExit,0.96723497
clickVideoExit,0
clickVideoExit,0.596945955
clickVideoExit,0
clickVideoExit,0.007701071
clickVideoExit,0.010739127
clickVideoExit,0.001323153
clickVideoExit,0.001700911
clickVideoExit,0.006567797
clickVideoExit,0.664520707
clickVideoExit,0.989164934
clickVideoExit,
clickVideoExit,0.719023825
clickVideoExit,0.001714902
clickVideoExit,0.960165494
clickVideoExit,0.308446594
clickVideoExit,0.857347298
clickVideoExit,0.356232012
clickVideoExit,0
clickVideoExit,0.01301567
clickVideoExit,0.003891509
clickVideoExit,0.316051727
clickVideoExit,0.997103854
clickVideoExit,0.672569555
clickVideoExit,0.01821834
clickVideoExit,0.541173649
clickVideoExit,0.006741685
clickVideoExit,0.138837144
clickVideoExit,0.002116645
clickVideoExit,0.577908139
clickVideoExit,0.072053886
clickVideoExit,0.668200352
clickVideoExit,0.201155261
clickVideoExit,0.361974336
clickVideoExit,0.001371122
clickVideoExit,0.003443796
clickVideoExit,0
clickVideoExit,0.462284138
clickVideoExit,0.029661017
clickVideoExit,0.60600016
clickVideoExit,0.780940198
clickVideoExit,0.002180604
clickVideoExit,0.256553806
clickVideoExit,0
clickVideoExit,0.977360489
clickVideoExit,0.000653582
clickVideoExit,
clickVideoExit,0.575629597
clickVideoExit,0.244957227
clickVideoExit,0.018987848
clickVideoExit,0
clickVideoExit,0.039110969
clickVideoExit,0.375057963
clickVideoExit,0.992175008
clickVideoExit,0.557415254
clickVideoExit,0.987158219
clickVideoExit,0.834631836
clickVideoExit,0
clickVideoExit,0.015821874
clickVideoExit,0.998061241
clickVideoExit,0.007193396
clickVideoExit,0.904677007
clickVideoExit,0.841053726
clickVideoExit,0.003205948
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.007537176
clickVideoExit,0
clickVideoExit,0.942938519
clickVideoExit,1
clickVideoExit,0.166095699
clickVideoExit,0.319795331
clickVideoExit,0.021985929
clickVideoExit,0.990418132
clickVideoExit,0.790138311
clickVideoExit,0.028903502
clickVideoExit,0.947317717
clickVideoExit,0.074362408
clickVideoExit,0.076471059
clickVideoExit,0.031991525
clickVideoExit,0
clickVideoExit,0.753603694
clickVideoExit,0.602706268
clickVideoExit,0.866803246
clickVideoExit,0.073099217
clickVideoExit,0.005982171
clickVideoExit,0.654527103
clickVideoExit,0.408870323
clickVideoExit,0
clickVideoExit,0.010992965
clickVideoExit,0.005996162
clickVideoExit,0.901423089
clickVideoExit,0.603189958
clickVideoExit,0.701551007
clickVideoExit,
clickVideoExit,
clickVideoExit,0.982371282
clickVideoExit,0.149480333
clickVideoExit,0.620684762
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.647277742
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.222929325
clickVideoExit,0
clickVideoExit,0.596885993
clickVideoExit,0.485737128
clickVideoExit,0.497401663
clickVideoExit,0.000129917
clickVideoExit,0.417994484
clickVideoExit,0.003315878
clickVideoExit,0.007251359
clickVideoExit,0.887204189
clickVideoExit,0.000585625
clickVideoExit,0.554599057
clickVideoExit,0
clickVideoExit,0.004673009
clickVideoExit,0
clickVideoExit,
clickVideoExit,0.006325951
clickVideoExit,0.006152063
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,
clickVideoExit,0.000917413
clickVideoExit,
clickVideoExit,0.11362528
clickVideoExit,0.615268228
clickVideoExit,0.001998721
clickVideoExit,0.630196674
clickVideoExit,0.066739287
clickVideoExit,0
clickVideoExit,0.945368964
clickVideoExit,0
clickVideoExit,0.004535098
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.003643668
clickVideoExit,0.711896386
clickVideoExit,0.594195715
clickVideoExit,0.031819635
clickVideoExit,0.790176287
clickVideoExit,0.000653582
clickVideoExit,0.303301887
clickVideoExit,
clickVideoExit,0
clickVideoExit,0.457607131
clickVideoExit,0.456513831
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.456066118
clickVideoExit,0.946742085
clickVideoExit,0
clickVideoExit,0.619131756
clickVideoExit,0.97285937
clickVideoExit,0.079513112
clickVideoExit,0.008356652
clickVideoExit,0.993362248
clickVideoExit,0.602492405
clickVideoExit,0.908878318
clickVideoExit,0.998712824
clickVideoExit,0.992894547
clickVideoExit,0.085099536
clickVideoExit,0
clickVideoExit,0.287829789
clickVideoExit,0.961558602
clickVideoExit,0.037478014
clickVideoExit,0
clickVideoExit,0.001207227
clickVideoExit,0
clickVideoExit,
clickVideoExit,
clickVideoExit,
clickVideoExit,0.004319236
clickVideoExit,0.006723697
clickVideoExit,
clickVideoExit,0.035495283
clickVideoExit,0.001537016
clickVideoExit,0.747247761
clickVideoExit,0.857701071
clickVideoExit,0.91034338
clickVideoExit,0.967472817
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.004832907
clickVideoExit,
clickVideoExit,0
clickVideoExit,0.966335545
clickVideoExit,0.9971878
clickVideoExit,0.555098737
clickVideoExit,0.032814998
clickVideoExit,0.241853214
clickVideoExit,0.856601775
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.752322514
clickVideoExit,0.069655421
clickVideoExit,0.034128158
clickVideoExit,0.960717141
clickVideoExit,0.93217141
clickVideoExit,0.000441717
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.997123841
clickVideoExit,0.989372801
clickVideoExit,0.520666773
clickVideoExit,0
clickVideoExit,7.80E-05
clickVideoExit,0.04896866
clickVideoExit,0
